iter	MultiClass
0	0.9553536474
1	0.8375581521
2	0.7431520722
3	0.6632419642
4	0.599029957
5	0.5398831861
6	0.4880093778
7	0.4431266383
8	0.4026535419
9	0.3694034827
10	0.3376435334
11	0.3087681568
12	0.2830127969
13	0.2594966138
14	0.2386734295
15	0.220090881
16	0.2030424348
17	0.1872415642
18	0.1732474124
19	0.1605681052
20	0.1494459567
21	0.1384464859
22	0.1285337128
23	0.1191843928
24	0.110969302
25	0.1035398686
26	0.09694896589
27	0.09044783235
28	0.08400685786
29	0.07824118992
30	0.07366764996
31	0.0694332235
32	0.06508046232
33	0.06072037775
34	0.05681422525
35	0.05341999971
36	0.04999419599
37	0.04701484253
38	0.04460204309
39	0.04243256796
40	0.04028299989
41	0.03812421943
42	0.03629318195
43	0.03433834039
44	0.03233942183
45	0.03087197933
46	0.02949310109
47	0.02788895132
48	0.02698863435
49	0.02579593584
50	0.02445576103
51	0.02379313938
52	0.02286429052
53	0.02193183668
54	0.02112892297
55	0.02034219222
56	0.01935008782
57	0.01848240585
58	0.01843559545
59	0.01760579983
60	0.01709013603
61	0.01674552523
62	0.0161662057
63	0.01602993681
64	0.01557573003
65	0.01525495476
66	0.01492525633
67	0.01445023111
68	0.01440087621
69	0.01379324738
70	0.01349927016
71	0.01336690507
72	0.01301349438
73	0.01284158514
74	0.0124338375
75	0.01221889508
76	0.01187775236
77	0.01165365024
78	0.01139481594
79	0.01116220448
80	0.01091728305
81	0.01088971178
82	0.01085711912
83	0.01082563179
84	0.01060904716
85	0.01035765754
86	0.01029210384
87	0.0102500498
88	0.01022848083
89	0.00995780211
90	0.009902871601
91	0.00968456817
92	0.0094525368
93	0.009273485428
94	0.009121366545
95	0.009031825509
96	0.009006361326
97	0.008793829189
98	0.008502405503
99	0.008371446361
100	0.00821696
101	0.008163977128
102	0.008145688242
103	0.008126444957
104	0.008005908602
105	0.007928974202
106	0.007872640111
107	0.007707423744
108	0.00759036522
109	0.007574423603
110	0.007458118069
111	0.007442823454
112	0.007425217619
113	0.007276286036
114	0.007259306655
115	0.007155815274
116	0.007071974785
117	0.007056486917
118	0.006910786402
119	0.006764661267
120	0.006751827512
